Designator,Mid X,Mid Y,Layer,Rotation
C1,73.03,45.72,Bottom,0.0
C3,72.64,33.02,Bottom,180.0
C4,79.88,20.19,Bottom,270.0
C6,32.38,23.50,Bottom,180.0
C7,43.18,29.21,Bottom,270.0
C10,56.52,15.24,Bottom,270.0
C11,56.52,21.59,Bottom,90.0
C12,49.78,43.18,Bottom,90.0
C14,80.01,38.73,Bottom,180.0
C15,78.74,25.40,Bottom,180.0
C16,71.12,20.96,Bottom,90.0
C17,92.08,22.23,Bottom,270.0
D3,85.73,32.38,Bottom,0.0
FUSE,43.18,43.82,Bottom,0.0
IC2,36.83,28.58,Bottom,270.0
IC3,30.48,19.05,Bottom,270.0
IC4,76.84,20.32,Bottom,270.0
IC5,43.18,17.78,Bottom,180.0
L1,56.26,43.18,Bottom,270.0
L2,85.73,22.23,Bottom,0.0
Q1,52.71,18.41,Bottom,270.0
R1,73.03,40.64,Bottom,0.0
R2,73.03,43.18,Bottom,180.0
R3,72.77,24.51,Bottom,180.0
R4,34.93,33.02,Bottom,0.0
R5,34.29,13.34,Bottom,0.0
R6,27.94,23.50,Bottom,0.0
R7,34.93,11.05,Bottom,180.0
R8,78.74,15.88,Bottom,0.0
R9,74.30,15.88,Bottom,0.0
R11,73.66,20.96,Bottom,90.0
RTERM0,26.67,29.85,Bottom,0.0
RTERM1,21.46,17.14,Bottom,0.0
Z1,73.03,27.94,Bottom,90.0
